entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note,decision_status,provisional_generation,decision_reason,generation_evidence,generation_evidence_reason,lineage_candidate,lineage_pair_status,lineage_reason,continuity_candidate,continuity_strength,continuity_status,continuity_reason,official_relation,relation_types,relation_counterpart_codes,relation_counterpart_names
,5,2,감염성 질환 약물치료학,ADA147,전필,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,,conflict,,continuity_generation_conflict,unresolved,no_direct_flowchart_evidence,,,,,,conflict,four_year_and_six_year_both_present_within_two_year_window,no,,,
,5,2,내분비계 및 류마티스 질환 약물치료학,ADA148,전필,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,,conflict,,continuity_generation_conflict,unresolved,no_direct_flowchart_evidence,,,,,,conflict,four_year_and_six_year_both_present_within_two_year_window,no,,,
,5,2,약무행정실무필수실습,ADB087,전필,1,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,한약제제학,ADB080,전필,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,동물용의약품학,ADA121,전선,1,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,동물용의약품학,ADB089,전선,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,바이오의약품학,ADA225,전선,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,yes,equivalent,ADA107,생물의약품학
,5,2,약업경영학,ADA118,전선,2,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,,conflict,,continuity_generation_conflict,unresolved,no_direct_flowchart_evidence,,,,,,conflict,four_year_and_six_year_both_present_within_two_year_window,no,,,
,5,2,약전 및 품질관리학,ADB081,전선,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,조제학,ADA053,전선,2,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,6,1,의료기관약국 필수실무실습1,ADB093,전필,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,의료기관약국 필수실무실습2,ADB094,전필,2,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,의료기관약국 필수실무실습3,ADB095,전필,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,의료기관약국 필수실무실습4,ADB096,전필,2,source=2024학년도_약학과_교육과정.pdf; page=15,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,제약산업 필수실무실습,ADB097,전필,2,source=2024학년도_약학과_교육과정.pdf; page=15,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,지역약국 필수실무실습1,ADB092,전필,2,source=2024학년도_약학과_교육과정.pdf; page=15,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,2,심화실습 1,ADB099,전필,5,source=2024학년도_약학과_교육과정.pdf; page=15,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,2,심화실습 2,ADB100,전필,5,source=2024학년도_약학과_교육과정.pdf; page=15,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,2,지역약국 필수실무실습2,ADB098,전필,3,source=2024학년도_약학과_교육과정.pdf; page=15,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
