entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note
,1,1,약학기초생물학1,ADB002,전선,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,5,1,약물신호전달학,ADB079,전선,2,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,
,5,1,약업경영학,ADB074,전선,2,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,
,5,1,약학용어,ADB076,전선,2,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,
,5,1,조제학,ADB077,전선,3,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,
,5,2,의료기관약국예비실습,ADB086,전필,2,source=2022학년도_약학과_교육과정.pdf; page=10; extractor=vision,,,,,,,,,,,
,5,2,임상약학 해설,ADB083,전필,1,source=2022학년도_약학과_교육과정.pdf; page=10; extractor=vision,,,,,,,,,,,
,5,2,신약개발정보학,ADB090,전선,2,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,
,5,2,심혈관계 질환 약물치료학,ADB082,전선,3,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,
,5,2,약물유전체학,ADB085,전선,3,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,
,5,2,의약품허가,ADB088,전선,3,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,
,5,2,일반의약품학,ADB084,전선,3,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,
,5,2,종양생물학,ADB091,전선,2,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,
